model,term,log_PR,se,PR,lower,upper,p,df,missing_information
Age_M2,(Intercept),-3.10986151240185,0.203015380880765,0.0446071324471712,0.0299490749145922,0.0664393231121131,1.21644051132328e-47,979.082076085966,0.00995644538029265
Age_M2,yearf2020,-0.122664040120069,0.128397303726566,0.884560789583307,0.68754651387974,1.13802888193409,0.339634936557353,991.208390813048,0.00366669429077365
Age_M2,yearf2021,-0.0272557604794849,0.10943928598115,0.973112326019224,0.785044151288421,1.20623483086449,0.803374414176541,990.218244805726,0.00440378320180363
Age_M2,yearf2022,-0.160143330651528,0.114471729349624,0.852021659394408,0.680601866466798,1.06661609943236,0.162132307616862,992.359804803145,0.00267057192080368
Age_M2,yearf2023,-0.170141835361123,0.106456022944097,0.843545163578171,0.684513371556044,1.03952453314181,0.110309450385921,990.414250307322,0.0042645407037046
Age_M2,yearf2024,0.0604008978725005,0.100695333394532,1.06226231989793,0.871795725390281,1.2943413272298,0.548751530634733,989.044728050609,0.00518301165529601
Age_M2,yearf2025,-0.107539479474771,0.112695611182366,0.898041067561267,0.719866847358324,1.1203151832677,0.340191280346259,990.622687288164,0.00411310654754608
Age_M2,young18-64,0.820681556518268,0.0709712320653102,2.27204783896171,1.97666292640549,2.61157393785794,4.25948951604193e-29,988.85507143373,0.00530141673658375
Age_M2,sex2,0.21013675928879,0.0634660772905224,1.23384678842815,1.0893616607,1.39749538857115,0.000963494044217513,981.126445738668,0.009136039996017
Age_M2,race2,0.120242989519103,0.121635920720243,1.12777085478574,0.888295978867118,1.4318055368507,0.323125231839669,991.938639401922,0.00305706344835616
Age_M2,race3,0.0721008504231098,0.134240110276051,1.0747637289752,0.825863041369469,1.39867873395234,0.591316476071355,992.030267469356,0.00297546223329668
Age_M2,race4,-0.301046032731056,0.279366605643458,0.74004370572974,0.427730107854477,1.2803977936866,0.281473144122879,992.781027209813,0.00225009743075004
Age_M2,race5,-0.132820295051749,0.325632125228169,0.875622431654768,0.462167918857509,1.65895253983086,0.683446468738113,992.243803635131,0.00278005147184664
Age_M2,race6,0.093208212289383,0.227641097455742,1.09769026407892,0.702220247232533,1.71587749086171,0.682296511752293,986.564430207769,0.00660843485935654
Age_M2,race7,0.210660786203705,0.343444926884062,1.23449352679352,0.629200319286604,2.42208120527181,0.539769283228696,986.728721040575,0.00652108887283977
Age_M2,region2,0.174374255554193,0.114748090833319,1.19050103407995,0.950465444975499,1.49115648510712,0.128924482517648,988.893033411191,0.00527786490237017
Age_M2,region3,0.361232541924975,0.107514578424846,1.43509714233159,1.16212478576879,1.77218817905675,0.000809609094351314,990.540804526233,0.00417302464119541
Age_M2,region4,0.131355727466825,0.131014521381636,1.14037337129857,0.881842448175769,1.47469814892338,0.316296428025991,991.467560828298,0.00345790054044933
Age_M2,educationSome college or associate,-0.0684258084067748,0.0896332052768308,0.933862742298118,0.78323718459964,1.11345533460384,0.445408809152647,985.386201652991,0.00721172321850228
Age_M2,educationHigh school or GED,-0.24891614490452,0.0941689142249688,0.779645347878757,0.648098570060301,0.937892623976059,0.00834166644670214,978.183337884289,0.0103010517679942
